group,mean_importance,std_importance,num_features,normalized_importance
meta_predictors,0.20235085,0.6397073,25,0.2773468
functional,0.1579305,0.3524102,24,0.21646321
population,0.1402203,0.29528528,6,0.19218922
conservation,0.114321254,0.19111732,10,0.15669137
dl_meta,0.08293273,0.11962594,20,0.11366954
mane,0.0318394,0.076788895,4,0.043639824
