group,mean_importance,std_importance,num_features,normalized_importance
dl_meta,0.3270061,0.48576918,20,0.3913395
mane,0.21186215,0.53170174,4,0.25354275
conservation,0.15826748,0.27922833,10,0.18940417
population,0.13847141,0.35719496,6,0.16571352
