group,mean_importance,std_importance,num_features,normalized_importance
population,0.28097411497228547,0.3486711184821087,6,0.44672613754802765
dl_meta,0.23452425233959467,0.36921936560424307,20,0.37287460953241247
mane,0.08018665144452755,0.29835342153766914,4,0.12749029598778913
conservation,0.03327776482837378,0.06564999344768246,12,0.05290895693177063
