feature,importance
DANN_score,232
dbNSFP_POPMAX_AF,210
AlphaMissense_score_mean,154
ESM1b_score_count,152
MutPred2_score_mean,146
gnomAD4.1_joint_POPMAX_AF,145
ESM1b_score_mean,141
MutPred2_score_max,137
phyloP100way_vertebrate,117
MutPred2_score_count,115
phyloP470way_mammalian,114
ESM1b_score_std,111
popEVE_score_count,97
gnomAD4.1_joint_AF,94
MANE_Empty,93
popEVE_score_max,85
GERP_92_mammals,81
popEVE_score_mean,81
AlphaMissense_score_std,78
AlphaMissense_score_count,75
GERP++_RS,75
gnomAD4.1_joint_AF_was_na,70
AlphaMissense_rankscore_was_na,64
ESM1b_score_max,54
dbNSFP_POPMAX_AF_was_na,53
AlphaMissense_rankscore,44
MANE_Select,39
phastCons100way_vertebrate,38
AlphaMissense_score_max,23
MANE_Plus_Clinical,20
phyloP470way_mammalian_was_na,14
MutPred2_score_std,12
popEVE_score_std,9
GERP++_RS_was_na,8
phastCons470way_mammalian,8
DANN_score_was_na,4
GERP_92_mammals_was_na,4
MANE_Both,3
phastCons100way_vertebrate_was_na,0
phyloP100way_vertebrate_was_na,0
phastCons470way_mammalian_was_na,0
gnomAD4.1_joint_POPMAX_AF_was_na,0
