feature,importance
ESM1b_score_mean,0.41841465
MANE_Empty,0.13228814
gnomAD4.1_joint_POPMAX_AF,0.08202701
MutPred2_score_count,0.04883354
gnomAD4.1_joint_AF_was_na,0.033180498
AlphaMissense_rankscore_was_na,0.032713138
MutPred2_score_max,0.02936439
dbNSFP_POPMAX_AF_was_na,0.028995382
MutPred2_score_mean,0.027676612
MANE_Select,0.025140293
AlphaMissense_score_mean,0.021491006
dbNSFP_POPMAX_AF,0.020494895
DANN_score,0.019005638
popEVE_score_count,0.013284157
gnomAD4.1_joint_AF,0.007910677
phyloP100way_vertebrate,0.0043515437
AlphaMissense_rankscore,0.0039092354
AlphaMissense_score_std,0.0038473716
popEVE_score_mean,0.0035795649
AlphaMissense_score_count,0.0034372113
MANE_Plus_Clinical,0.0032604337
ESM1b_score_count,0.0032283869
DANN_score_was_na,0.003169662
phyloP470way_mammalian,0.0028428363
GERP_92_mammals_was_na,0.0027898143
GERP++_RS_was_na,0.0026397274
phyloP470way_mammalian_was_na,0.002411836
popEVE_score_std,0.0022247653
ESM1b_score_std,0.0021818774
phastCons470way_mammalian,0.0019549977
popEVE_score_max,0.0018761604
GERP_92_mammals,0.0018180648
AlphaMissense_score_max,0.0018022681
MutPred2_score_std,0.0016753821
MANE_Both,0.0015830667
phastCons100way_vertebrate,0.0015789872
ESM1b_score_max,0.0015594346
GERP++_RS,0.0014573636
phastCons100way_vertebrate_was_na,0.0
phyloP100way_vertebrate_was_na,0.0
phastCons470way_mammalian_was_na,0.0
gnomAD4.1_joint_POPMAX_AF_was_na,0.0
