group,mean_importance,std_importance,num_features,normalized_importance
meta_predictors,0.15146190266595175,0.5381620145806133,25,0.33841349509032287
population,0.14664935012666386,0.1958780387989323,6,0.32766074013042934
functional,0.08087158778967832,0.22842144329286782,24,0.1806925450934612
dl_meta,0.03293551754427793,0.058698962792951226,20,0.07358829783981907
mane,0.02222115799396653,0.05199268052286921,4,0.04964905107707289
conservation,0.013425090088579936,0.03280403515163649,12,0.029995870768894647
