feature,importance
BayesDel_addAF_score,221
CADD_phred,199
MutationTaster_score_mean,166
dbNSFP_POPMAX_AF,166
MutationTaster_score_max,133
BayesDel_noAF_score,120
ESM1b_score_count,119
gnomAD4.1_joint_POPMAX_AF,89
gMVP_score_max,72
dbNSFP_POPMAX_AF_was_na,63
phyloP100way_vertebrate,62
popEVE_score_count,59
VEST4_score_max,59
gMVP_score_mean,56
MutationAssessor_score_max,53
M-CAP_score,52
AlphaMissense_score_mean,50
fathmm-XF_coding_score,49
gnomAD4.1_joint_AF_was_na,47
gnomAD4.1_joint_AF,46
VEST4_score_mean,44
phastCons100way_vertebrate,42
ESM1b_score_mean,42
REVEL_score_max,42
MutPred2_score_max,38
MisFit_D_score_count,38
VEST4_score_std,38
popEVE_score_mean,35
MisFit_D_score_max,33
VEST4_score_count,32
AlphaMissense_score_count,31
popEVE_score_max,30
MutationAssessor_score_count,29
ESM1b_score_std,28
MutPred2_score_mean,28
DANN_score,27
GERP++_RS,26
MetaLR_score,26
AlphaMissense_score_std,26
MANE_Select,25
Polyphen2_HDIV_score_count,25
ESM1b_score_max,25
MANE_Empty,24
MetaSVM_score,23
fathmm-XF_coding_score_was_na,23
GERP_92_mammals,23
Eigen-phred_coding,22
MutPred2_score_count,21
MutationTaster_score_count,21
phyloP470way_mammalian,20
Polyphen2_HDIV_score_std,16
MutationTaster_score_std,14
Eigen-raw_coding,13
BayesDel_addAF_score_was_na,13
AlphaMissense_rankscore,13
gMVP_score_count,12
Eigen-phred_coding_was_na,12
popEVE_score_std,11
M-CAP_score_was_na,11
MetaLR_score_was_na,10
SIFT_score_count,10
SIFT_score_mean,10
phastCons470way_mammalian,10
MisFit_D_score_mean,10
Polyphen2_HDIV_score_mean,10
SIFT_score_max,8
REVEL_score_count,8
SIFT_score_std,7
MutationAssessor_score_mean,7
AlphaMissense_score_max,7
AlphaMissense_rankscore_was_na,5
MANE_Plus_Clinical,4
MutPred2_score_std,3
Polyphen2_HDIV_score_max,2
REVEL_score_mean,1
phyloP470way_mammalian_was_na,1
MutationAssessor_score_std,1
MANE_Both,1
GERP_92_mammals_was_na,1
REVEL_score_std,1
Eigen-raw_coding_was_na,0
BayesDel_noAF_score_was_na,0
MetaSVM_score_was_na,0
gMVP_score_std,0
DANN_score_was_na,0
MisFit_D_score_std,0
GERP++_RS_was_na,0
phastCons100way_vertebrate_was_na,0
phyloP100way_vertebrate_was_na,0
phastCons470way_mammalian_was_na,0
gnomAD4.1_joint_POPMAX_AF_was_na,0
