group,mean_importance,std_importance,num_features,normalized_importance
population,0.43797351942136087,1.8489700266146876,6,0.28703105046695465
functional,0.3968987022190699,1.0330541908145912,24,0.26011219029274135
meta_predictors,0.39141733714345084,0.9595165478585326,25,0.25651991380596545
dl_meta,0.16247861578200753,0.23453230651968623,20,0.10648225451607471
conservation,0.07870239159246564,0.1329251421528727,12,0.0515785295944202
mane,0.05840448711147923,0.11780966855704506,4,0.038276061323843556
