feature,importance
BayesDel_addAF_score,0.6105099
MutationTaster_score_mean,0.05544631
MutPred2_score_count,0.047466747
MutationTaster_score_max,0.03687164
dbNSFP_POPMAX_AF_was_na,0.02410598
CADD_phred,0.01817125
BayesDel_addAF_score_was_na,0.012192571
MANE_Select,0.011069024
gnomAD4.1_joint_AF_was_na,0.01004483
popEVE_score_count,0.008529086
gMVP_score_mean,0.008266631
AlphaMissense_score_mean,0.007835722
dbNSFP_POPMAX_AF,0.0076975613
gnomAD4.1_joint_POPMAX_AF,0.0073328777
gMVP_score_max,0.0068670684
MetaLR_score_was_na,0.00624675
MANE_Empty,0.0052747405
MisFit_D_score_mean,0.0043995287
AlphaMissense_rankscore_was_na,0.004334789
gMVP_score_count,0.0038494996
fathmm-XF_coding_score_was_na,0.0036534725
ESM1b_score_count,0.003626795
MutPred2_score_mean,0.0033373982
phastCons100way_vertebrate,0.0028390142
MutationTaster_score_count,0.0028263202
M-CAP_score_was_na,0.0027917032
MisFit_D_score_count,0.0027509425
MutationAssessor_score_max,0.0027296152
Eigen-phred_coding_was_na,0.0026707253
ESM1b_score_mean,0.0023196489
Polyphen2_HDIV_score_std,0.0023141217
VEST4_score_count,0.0023129866
Polyphen2_HDIV_score_count,0.002286182
AlphaMissense_score_count,0.0022844137
popEVE_score_std,0.0022419016
popEVE_score_mean,0.0022395274
REVEL_score_count,0.0021133267
MANE_Plus_Clinical,0.0020849744
VEST4_score_max,0.0020751224
phyloP100way_vertebrate,0.0019924515
MutationAssessor_score_count,0.001960391
fathmm-XF_coding_score,0.0019304467
VEST4_score_std,0.0019199312
AlphaMissense_score_max,0.0018764962
BayesDel_noAF_score,0.0018404098
VEST4_score_mean,0.0018385648
SIFT_score_count,0.0018333766
gnomAD4.1_joint_AF,0.0017685809
AlphaMissense_score_std,0.0016832984
phyloP470way_mammalian_was_na,0.0016576713
MutPred2_score_std,0.0016039546
popEVE_score_max,0.0015508196
REVEL_score_max,0.0015386129
M-CAP_score,0.0015090405
Polyphen2_HDIV_score_mean,0.0014563027
ESM1b_score_max,0.0014462243
phastCons470way_mammalian,0.0014161214
MisFit_D_score_max,0.0014092536
AlphaMissense_rankscore,0.001391285
MetaLR_score,0.001379094
MutPred2_score_max,0.0013523436
DANN_score,0.0013301665
MetaSVM_score,0.0013181752
SIFT_score_max,0.0013174881
SIFT_score_std,0.0012893081
Eigen-phred_coding,0.0012510525
GERP++_RS,0.0012296316
ESM1b_score_std,0.0012253533
GERP_92_mammals_was_na,0.0011695805
SIFT_score_mean,0.0011571621
phyloP470way_mammalian,0.0011359549
MutationTaster_score_std,0.0010774668
GERP_92_mammals,0.0010404108
Polyphen2_HDIV_score_max,0.0010225014
REVEL_score_std,0.00092534965
MutationAssessor_score_std,0.0008085154
MisFit_D_score_std,0.00033655352
gMVP_score_std,0.0
BayesDel_noAF_score_was_na,0.0
REVEL_score_mean,0.0
MetaSVM_score_was_na,0.0
Eigen-raw_coding,0.0
Eigen-raw_coding_was_na,0.0
MutationAssessor_score_mean,0.0
DANN_score_was_na,0.0
phastCons100way_vertebrate_was_na,0.0
GERP++_RS_was_na,0.0
phastCons470way_mammalian_was_na,0.0
phyloP100way_vertebrate_was_na,0.0
gnomAD4.1_joint_POPMAX_AF_was_na,0.0
MANE_Both,0.0
