feature,importance
phyloP470way_mammalian,453
dbNSFP_POPMAX_AF,387
phyloP100way_vertebrate,363
GERP++_RS,309
gnomAD4.1_joint_AF,277
GERP_92_mammals,273
gnomAD4.1_joint_POPMAX_AF,268
phastCons100way_vertebrate,158
MANE_Empty,134
dbNSFP_POPMAX_AF_was_na,77
gnomAD4.1_joint_AF_was_na,67
phastCons470way_mammalian,64
GERP_92_mammals_was_na,53
MANE_Both,31
GERP++_RS_was_na,27
phyloP470way_mammalian_was_na,20
MANE_Plus_Clinical,20
MANE_Select,17
phastCons470way_mammalian_was_na,2
phastCons100way_vertebrate_was_na,0
phyloP100way_vertebrate_was_na,0
gnomAD4.1_joint_POPMAX_AF_was_na,0
