feature,importance
BayesDel_addAF_score,212
MutationTaster_score_mean,193
CADD_phred,192
dbNSFP_POPMAX_AF,175
ESM1b_score_count,141
MutationTaster_score_max,99
BayesDel_noAF_score,86
gMVP_score_max,86
gnomAD4.1_joint_POPMAX_AF,85
dbNSFP_POPMAX_AF_was_na,72
phyloP100way_vertebrate,69
MutationAssessor_score_max,68
fathmm-XF_coding_score,61
M-CAP_score,59
VEST4_score_max,56
gnomAD4.1_joint_AF,55
gnomAD4.1_joint_AF_was_na,54
phastCons100way_vertebrate,53
ESM1b_score_mean,50
popEVE_score_count,49
MisFit_D_score_max,46
VEST4_score_mean,39
MisFit_D_score_count,39
DANN_score,38
AlphaMissense_score_mean,37
MutationTaster_score_count,33
Eigen-phred_coding,32
popEVE_score_mean,32
MutPred2_score_mean,32
GERP++_RS,30
MetaLR_score,30
ESM1b_score_std,30
MutPred2_score_max,30
VEST4_score_std,28
REVEL_score_max,27
VEST4_score_count,27
popEVE_score_max,27
ESM1b_score_max,26
fathmm-XF_coding_score_was_na,26
AlphaMissense_rankscore,25
AlphaMissense_score_count,25
Polyphen2_HDIV_score_count,25
GERP_92_mammals,24
MANE_Select,24
phyloP470way_mammalian,22
AlphaMissense_score_std,21
MANE_Empty,19
MutationAssessor_score_count,19
gMVP_score_mean,19
REVEL_score_count,15
Polyphen2_HDIV_score_mean,15
MetaSVM_score,15
M-CAP_score_was_na,14
Polyphen2_HDIV_score_std,14
MetaLR_score_was_na,14
gMVP_score_count,13
Eigen-raw_coding,13
SIFT_score_max,13
BayesDel_addAF_score_was_na,12
MutPred2_score_count,12
MutationTaster_score_std,11
AlphaMissense_score_max,11
Eigen-phred_coding_was_na,11
AlphaMissense_rankscore_was_na,10
Polyphen2_HDIV_score_max,9
SIFT_score_count,9
popEVE_score_std,7
SIFT_score_std,6
SIFT_score_mean,5
MANE_Plus_Clinical,5
MisFit_D_score_mean,4
DANN_score_was_na,3
REVEL_score_std,2
phyloP470way_mammalian_was_na,2
MutPred2_score_std,2
phastCons470way_mammalian,2
MutationAssessor_score_std,2
REVEL_score_mean,1
MutationAssessor_score_mean,1
gMVP_score_std,0
Eigen-raw_coding_was_na,0
BayesDel_noAF_score_was_na,0
MetaSVM_score_was_na,0
phastCons100way_vertebrate_was_na,0
GERP_92_mammals_was_na,0
MisFit_D_score_std,0
GERP++_RS_was_na,0
phastCons470way_mammalian_was_na,0
phyloP100way_vertebrate_was_na,0
gnomAD4.1_joint_POPMAX_AF_was_na,0
MANE_Both,0
