group,mean_importance,std_importance,num_features,normalized_importance
population,0.45016137,0.5039404,6,0.5424525
meta_predictors,0.18370107,0.5001335,25,0.22136308
functional,0.084061705,0.15979014,24,0.10129586
dl_meta,0.05545229,0.07877257,20,0.066821
conservation,0.029525205,0.047287688,9,0.0355784
mane,0.026961563,0.048461694,2,0.032489166
