feature,importance
BayesDel_addAF_score,0.6017912
MutPred2_score_count,0.052177645
MutationTaster_score_mean,0.051630225
MutationTaster_score_max,0.042899925
dbNSFP_POPMAX_AF_was_na,0.016555753
BayesDel_addAF_score_was_na,0.015331697
CADD_phred,0.014862643
gnomAD4.1_joint_AF_was_na,0.014464444
dbNSFP_POPMAX_AF,0.009010151
AlphaMissense_score_mean,0.008758477
MANE_Select,0.007978756
popEVE_score_count,0.0079524545
AlphaMissense_rankscore_was_na,0.0076834275
gnomAD4.1_joint_POPMAX_AF,0.0069478652
MANE_Empty,0.006853557
gMVP_score_max,0.0062957574
gMVP_score_mean,0.0053325677
gMVP_score_count,0.005307686
MisFit_D_score_mean,0.005074328
Eigen-phred_coding_was_na,0.0049744593
fathmm-XF_coding_score_was_na,0.0043368633
MetaLR_score_was_na,0.0041757408
ESM1b_score_count,0.003927452
MutationTaster_score_count,0.0037867988
phastCons100way_vertebrate,0.003386598
MutationAssessor_score_max,0.0033768264
ESM1b_score_mean,0.0032042156
REVEL_score_count,0.0027040595
MutationAssessor_score_count,0.0026315493
VEST4_score_count,0.0024324332
Polyphen2_HDIV_score_count,0.0023496195
MANE_Plus_Clinical,0.0022993828
gnomAD4.1_joint_AF,0.0022220772
MutPred2_score_mean,0.0021875347
VEST4_score_max,0.0021421872
MisFit_D_score_count,0.002108759
AlphaMissense_score_count,0.0021047639
BayesDel_noAF_score,0.0020885793
phyloP100way_vertebrate,0.0020029368
MutPred2_score_max,0.001968477
popEVE_score_mean,0.0019543082
M-CAP_score_was_na,0.0019389945
popEVE_score_std,0.0019005014
popEVE_score_max,0.0018620573
M-CAP_score,0.0018459294
fathmm-XF_coding_score,0.0017504185
VEST4_score_mean,0.001716489
Eigen-raw_coding,0.0016124005
MANE_Both,0.0016034095
Polyphen2_HDIV_score_std,0.0015746554
VEST4_score_std,0.0015302998
MisFit_D_score_max,0.0015083386
phastCons470way_mammalian,0.001474246
REVEL_score_max,0.0013491329
Polyphen2_HDIV_score_mean,0.0013474874
ESM1b_score_max,0.0013454211
AlphaMissense_rankscore,0.0013412915
Eigen-phred_coding,0.0013352392
SIFT_score_max,0.0013340509
SIFT_score_mean,0.0013062273
GERP++_RS_was_na,0.0012854814
GERP++_RS,0.0012841611
MetaSVM_score,0.0012703752
MutPred2_score_std,0.001259369
ESM1b_score_std,0.0012554324
Polyphen2_HDIV_score_max,0.0012493279
MetaLR_score,0.0012422827
SIFT_score_std,0.0012295202
SIFT_score_count,0.0012210567
GERP_92_mammals,0.001190037
DANN_score,0.0011726579
AlphaMissense_score_std,0.0011473504
MutationTaster_score_std,0.0011254412
phyloP470way_mammalian,0.0011044639
phyloP470way_mammalian_was_na,0.0010013173
GERP_92_mammals_was_na,0.0008840632
AlphaMissense_score_max,0.00078476884
REVEL_score_std,0.00069056766
MutationAssessor_score_std,0.0006516825
REVEL_score_mean,0.0
Eigen-raw_coding_was_na,0.0
BayesDel_noAF_score_was_na,0.0
MetaSVM_score_was_na,0.0
gMVP_score_std,0.0
DANN_score_was_na,0.0
MutationAssessor_score_mean,0.0
MisFit_D_score_std,0.0
phastCons100way_vertebrate_was_na,0.0
phyloP100way_vertebrate_was_na,0.0
phastCons470way_mammalian_was_na,0.0
gnomAD4.1_joint_POPMAX_AF_was_na,0.0
