group,mean_importance,std_importance,num_features,normalized_importance
meta_predictors,0.15351125634627302,0.5286179429555256,25,0.344950173315922
population,0.14305676213992166,0.20403222846854388,6,0.321458217909886
functional,0.07869871736844504,0.2171892319026244,24,0.17684133946992456
dl_meta,0.031577551033591944,0.05773419889580173,20,0.07095689242070598
mane,0.020591617691738194,0.04728825267018835,4,0.04627075734171558
conservation,0.017588531472943793,0.03682197099815723,12,0.0395226195418458
