feature,importance
dbNSFP_POPMAX_AF,0.19495024
MANE_Empty,0.16976744
gnomAD4.1_joint_AF_was_na,0.15435062
dbNSFP_POPMAX_AF_was_na,0.13686424
phastCons470way_mammalian,0.061033987
phyloP100way_vertebrate,0.05880612
gnomAD4.1_joint_AF,0.044881143
gnomAD4.1_joint_POPMAX_AF,0.04128653
GERP++_RS,0.032316364
GERP++_RS_was_na,0.03075522
GERP_92_mammals_was_na,0.017274974
phastCons100way_vertebrate,0.017101176
phyloP470way_mammalian,0.008733217
MANE_Select,0.0075166496
MANE_Both,0.006511888
phyloP470way_mammalian_was_na,0.006052574
MANE_Plus_Clinical,0.005288848
GERP_92_mammals,0.005205647
phastCons470way_mammalian_was_na,0.0013029876
phastCons100way_vertebrate_was_na,0.0
phyloP100way_vertebrate_was_na,0.0
gnomAD4.1_joint_POPMAX_AF_was_na,0.0
