feature,importance
dbNSFP_POPMAX_AF,0.20224546
MANE_Empty,0.16675718
gnomAD4.1_joint_AF_was_na,0.15232398
dbNSFP_POPMAX_AF_was_na,0.14024007
phastCons470way_mammalian,0.057009213
phyloP100way_vertebrate,0.051671047
gnomAD4.1_joint_AF,0.047286253
gnomAD4.1_joint_POPMAX_AF,0.039937343
GERP++_RS,0.037347656
GERP++_RS_was_na,0.029036585
phastCons100way_vertebrate,0.022239868
GERP_92_mammals_was_na,0.01655017
phyloP470way_mammalian,0.009571897
GERP_92_mammals,0.006450796
MANE_Select,0.0063052545
MANE_Both,0.0050222385
MANE_Plus_Clinical,0.0047985977
phyloP470way_mammalian_was_na,0.0044465754
phastCons470way_mammalian_was_na,0.00075982104
phastCons100way_vertebrate_was_na,0.0
phyloP100way_vertebrate_was_na,0.0
gnomAD4.1_joint_POPMAX_AF_was_na,0.0
