feature,importance
DANN_score,208
dbNSFP_POPMAX_AF,207
AlphaMissense_score_mean,157
MutPred2_score_max,145
gnomAD4.1_joint_POPMAX_AF,144
MutPred2_score_mean,143
ESM1b_score_mean,142
ESM1b_score_count,136
phyloP100way_vertebrate,133
MutPred2_score_count,120
popEVE_score_count,115
ESM1b_score_std,111
gnomAD4.1_joint_AF,107
phyloP470way_mammalian,106
GERP++_RS,100
MANE_Empty,92
popEVE_score_max,92
AlphaMissense_score_count,87
GERP_92_mammals,87
popEVE_score_mean,76
AlphaMissense_score_std,67
gnomAD4.1_joint_AF_was_na,64
AlphaMissense_rankscore_was_na,59
dbNSFP_POPMAX_AF_was_na,54
AlphaMissense_rankscore,49
ESM1b_score_max,44
phastCons100way_vertebrate,35
MANE_Select,24
phastCons470way_mammalian,21
phyloP470way_mammalian_was_na,20
popEVE_score_std,19
MANE_Plus_Clinical,13
MutPred2_score_std,7
DANN_score_was_na,6
MANE_Both,5
AlphaMissense_score_max,3
GERP++_RS_was_na,1
phastCons470way_mammalian_was_na,1
phastCons100way_vertebrate_was_na,0
GERP_92_mammals_was_na,0
phyloP100way_vertebrate_was_na,0
gnomAD4.1_joint_POPMAX_AF_was_na,0
