group,mean_importance,std_importance,num_features,normalized_importance
population,0.29627544,0.4432187,6,0.41232193
dl_meta,0.25545847,0.39494944,20,0.3555176
mane,0.09505805,0.28970104,4,0.13229081
conservation,0.07176173,0.12726526,12,0.09986968
