feature,importance
ESM1b_score_mean,0.38690537
MANE_Empty,0.18408555
gnomAD4.1_joint_POPMAX_AF,0.07599909
MutPred2_score_count,0.045759477
AlphaMissense_rankscore_was_na,0.042805247
gnomAD4.1_joint_AF_was_na,0.035394046
MutPred2_score_mean,0.028829673
AlphaMissense_score_mean,0.027417704
dbNSFP_POPMAX_AF_was_na,0.023220148
dbNSFP_POPMAX_AF,0.022549285
MutPred2_score_max,0.022486797
popEVE_score_count,0.01503409
DANN_score,0.014812087
MANE_Select,0.013692651
gnomAD4.1_joint_AF,0.0060981386
phyloP470way_mammalian,0.0043464303
phyloP100way_vertebrate,0.004032407
AlphaMissense_rankscore,0.003338214
AlphaMissense_score_std,0.0029963213
ESM1b_score_count,0.0029707195
phyloP470way_mammalian_was_na,0.0028420447
popEVE_score_max,0.0028205134
AlphaMissense_score_count,0.0027274422
popEVE_score_mean,0.0026673747
phastCons470way_mammalian,0.002605081
DANN_score_was_na,0.0025029264
GERP++_RS_was_na,0.0024675252
ESM1b_score_std,0.0022476523
phastCons100way_vertebrate,0.0018601608
AlphaMissense_score_max,0.0018514749
GERP_92_mammals,0.0017181762
MutPred2_score_std,0.001695159
GERP++_RS,0.0016209859
GERP_92_mammals_was_na,0.0015640014
popEVE_score_std,0.0015229291
ESM1b_score_max,0.0014519
MANE_Plus_Clinical,0.0014274704
MANE_Both,0.0010465761
phastCons470way_mammalian_was_na,0.0005872498
phastCons100way_vertebrate_was_na,0.0
phyloP100way_vertebrate_was_na,0.0
gnomAD4.1_joint_POPMAX_AF_was_na,0.0
