feature,importance
phyloP470way_mammalian,493
phyloP100way_vertebrate,390
dbNSFP_POPMAX_AF,348
GERP++_RS,326
GERP_92_mammals,318
gnomAD4.1_joint_AF,251
gnomAD4.1_joint_POPMAX_AF,246
phastCons100way_vertebrate,141
MANE_Empty,139
dbNSFP_POPMAX_AF_was_na,76
gnomAD4.1_joint_AF_was_na,64
GERP_92_mammals_was_na,54
MANE_Both,40
phastCons470way_mammalian,36
GERP++_RS_was_na,31
phyloP470way_mammalian_was_na,22
MANE_Plus_Clinical,17
MANE_Select,8
phastCons100way_vertebrate_was_na,0
phyloP100way_vertebrate_was_na,0
phastCons470way_mammalian_was_na,0
gnomAD4.1_joint_POPMAX_AF_was_na,0
