feature,importance
gnomAD4.1_joint_AF_was_na,0.24630289
dbNSFP_POPMAX_AF,0.18723121
MANE_Empty,0.1372567
dbNSFP_POPMAX_AF_was_na,0.10259831
phyloP100way_vertebrate,0.06532865
gnomAD4.1_joint_POPMAX_AF,0.04803467
gnomAD4.1_joint_AF,0.041739725
phastCons470way_mammalian,0.03915357
GERP++_RS,0.03237451
GERP++_RS_was_na,0.020885887
GERP_92_mammals_was_na,0.019448433
phastCons100way_vertebrate,0.017464476
MANE_Select,0.009214312
phyloP470way_mammalian,0.009005326
MANE_Plus_Clinical,0.008916454
GERP_92_mammals,0.005510467
MANE_Both,0.004856347
phyloP470way_mammalian_was_na,0.0035096365
phastCons470way_mammalian_was_na,0.0011683344
phastCons100way_vertebrate_was_na,0.0
phyloP100way_vertebrate_was_na,0.0
gnomAD4.1_joint_POPMAX_AF_was_na,0.0
