feature,importance
dbNSFP_POPMAX_AF,221
DANN_score,209
MutPred2_score_mean,167
ESM1b_score_mean,163
ESM1b_score_count,161
AlphaMissense_score_mean,150
MutPred2_score_max,142
gnomAD4.1_joint_POPMAX_AF,140
phyloP100way_vertebrate,125
phyloP470way_mammalian,114
gnomAD4.1_joint_AF,109
popEVE_score_count,105
MutPred2_score_count,98
ESM1b_score_std,97
MANE_Empty,90
popEVE_score_max,90
GERP_92_mammals,83
popEVE_score_mean,80
gnomAD4.1_joint_AF_was_na,76
AlphaMissense_rankscore_was_na,71
AlphaMissense_score_std,70
GERP++_RS,67
AlphaMissense_score_count,61
dbNSFP_POPMAX_AF_was_na,47
AlphaMissense_rankscore,46
ESM1b_score_max,45
phastCons100way_vertebrate,42
MANE_Select,38
phyloP470way_mammalian_was_na,16
phastCons470way_mammalian,15
popEVE_score_std,15
AlphaMissense_score_max,11
MutPred2_score_std,11
GERP++_RS_was_na,9
DANN_score_was_na,6
MANE_Plus_Clinical,6
GERP_92_mammals_was_na,2
MANE_Both,1
phastCons470way_mammalian_was_na,1
phastCons100way_vertebrate_was_na,0
phyloP100way_vertebrate_was_na,0
gnomAD4.1_joint_POPMAX_AF_was_na,0
