group,mean_importance,std_importance,num_features,normalized_importance
population,1.5102680367873873,11.934980848957466,6,0.8334205844711938
dl_meta,0.0726658476309859,0.16947842057881798,19,0.040099645710926654
conservation,0.06647786518437769,0.15289449905563227,7,0.036684892950668305
meta_predictors,0.06055486551449095,0.15142079787692905,25,0.03341636728074801
mane,0.05484811712290227,0.12829834603615006,2,0.030267176895930618
functional,0.04731717921924676,0.12385996039646723,24,0.02611133269053251
