group,mean_importance,std_importance,num_features,normalized_importance
population,0.3332716615291745,0.358054071670882,6,0.2345664991262696
conservation,0.25812451173054096,0.30443332395913464,9,0.1816757019708692
mane,0.24704379463455248,0.34696676489539396,2,0.17387676399609905
meta_predictors,0.24278244174024718,0.5162994825224515,25,0.17087749719563847
dl_meta,0.18178197304889482,0.23496421546247767,20,0.12794355459656284
functional,0.15779382494883543,0.2589217221086257,24,0.1110599831145608
