feature,importance
phyloP470way_mammalian,512
phyloP100way_vertebrate,375
dbNSFP_POPMAX_AF,354
GERP++_RS,336
GERP_92_mammals,292
gnomAD4.1_joint_AF,236
gnomAD4.1_joint_POPMAX_AF,236
phastCons100way_vertebrate,156
MANE_Empty,131
dbNSFP_POPMAX_AF_was_na,80
gnomAD4.1_joint_AF_was_na,63
GERP_92_mammals_was_na,62
phastCons470way_mammalian,58
MANE_Both,29
GERP++_RS_was_na,27
MANE_Plus_Clinical,21
phyloP470way_mammalian_was_na,17
MANE_Select,15
phastCons100way_vertebrate_was_na,0
phyloP100way_vertebrate_was_na,0
phastCons470way_mammalian_was_na,0
gnomAD4.1_joint_POPMAX_AF_was_na,0
