feature,importance
ESM1b_score_mean,0.39179757
MANE_Empty,0.16302896
gnomAD4.1_joint_POPMAX_AF,0.07569456
gnomAD4.1_joint_AF_was_na,0.047259886
AlphaMissense_rankscore_was_na,0.04376301
MutPred2_score_max,0.042221144
MutPred2_score_count,0.0397117
AlphaMissense_score_mean,0.030190978
dbNSFP_POPMAX_AF_was_na,0.027465746
dbNSFP_POPMAX_AF,0.022154525
MutPred2_score_mean,0.018017467
popEVE_score_count,0.015206561
DANN_score,0.012574193
MANE_Select,0.010633881
MANE_Both,0.005776959
phyloP100way_vertebrate,0.0039526685
AlphaMissense_score_std,0.0036289678
phyloP470way_mammalian,0.0033715584
MANE_Plus_Clinical,0.0032273964
gnomAD4.1_joint_AF,0.0031027708
popEVE_score_mean,0.0029382762
ESM1b_score_count,0.0028082633
AlphaMissense_score_count,0.002536112
phastCons470way_mammalian,0.0025254274
popEVE_score_std,0.0023359985
ESM1b_score_std,0.0022826984
GERP++_RS_was_na,0.0022661618
AlphaMissense_score_max,0.002248001
DANN_score_was_na,0.0021462957
popEVE_score_max,0.002048052
AlphaMissense_rankscore,0.0020023398
GERP_92_mammals,0.0019153166
ESM1b_score_max,0.0017200506
phyloP470way_mammalian_was_na,0.0016600635
phastCons100way_vertebrate,0.0015641659
GERP++_RS,0.0015268555
GERP_92_mammals_was_na,0.0015070366
MutPred2_score_std,0.0011883916
phastCons100way_vertebrate_was_na,0.0
phyloP100way_vertebrate_was_na,0.0
phastCons470way_mammalian_was_na,0.0
gnomAD4.1_joint_POPMAX_AF_was_na,0.0
