feature,importance
BayesDel_addAF_score,0.60029787
MutationTaster_score_mean,0.04274851
MutationTaster_score_max,0.036947682
AlphaMissense_rankscore_was_na,0.02691415
gnomAD4.1_joint_AF_was_na,0.026100727
MutPred2_score_count,0.0236003
BayesDel_addAF_score_was_na,0.020821523
MetaLR_score_was_na,0.016713524
dbNSFP_POPMAX_AF_was_na,0.015454286
CADD_phred,0.0138012925
AlphaMissense_score_mean,0.011460576
MANE_Empty,0.009129578
gnomAD4.1_joint_POPMAX_AF,0.008290341
MisFit_D_score_mean,0.006594669
popEVE_score_count,0.006432732
gMVP_score_max,0.0061277486
gMVP_score_mean,0.0056629
dbNSFP_POPMAX_AF,0.005623139
MANE_Select,0.00537496
fathmm-XF_coding_score_was_na,0.0049216338
gMVP_score_count,0.004667587
ESM1b_score_count,0.0041387035
MutationTaster_score_count,0.0031992828
popEVE_score_std,0.0029950223
Eigen-phred_coding_was_na,0.0029155395
phastCons100way_vertebrate,0.002842688
ESM1b_score_mean,0.0027655805
MANE_Plus_Clinical,0.0027355943
MutationAssessor_score_max,0.0026701903
Polyphen2_HDIV_score_count,0.0026333998
BayesDel_noAF_score,0.0025298193
M-CAP_score_was_na,0.0023082227
Polyphen2_HDIV_score_std,0.0022115856
MutPred2_score_mean,0.0021684323
gnomAD4.1_joint_AF,0.0020789907
fathmm-XF_coding_score,0.0020489327
popEVE_score_max,0.0019595553
popEVE_score_mean,0.0019171799
GERP++_RS_was_na,0.0018989895
VEST4_score_mean,0.0018964971
MisFit_D_score_count,0.001894604
MutationAssessor_score_count,0.0018939715
AlphaMissense_score_count,0.0018890494
VEST4_score_max,0.0018760556
phyloP100way_vertebrate,0.0018726914
AlphaMissense_score_std,0.0018030116
VEST4_score_count,0.0018006759
MutPred2_score_max,0.0017228024
M-CAP_score,0.0016836672
VEST4_score_std,0.0016745651
REVEL_score_max,0.0016346924
AlphaMissense_score_max,0.0016320965
MutPred2_score_std,0.0016317756
SIFT_score_count,0.0015828446
AlphaMissense_rankscore,0.0015466256
MisFit_D_score_max,0.0015193704
phyloP470way_mammalian_was_na,0.0015057072
GERP++_RS,0.0013992547
MetaLR_score,0.0013942227
REVEL_score_count,0.0013564352
Eigen-phred_coding,0.0013285365
phastCons470way_mammalian,0.0013267425
ESM1b_score_std,0.0013106742
SIFT_score_std,0.0012971578
GERP_92_mammals_was_na,0.0012825995
Polyphen2_HDIV_score_mean,0.0012352262
SIFT_score_mean,0.001220152
MetaSVM_score,0.0011978765
Polyphen2_HDIV_score_max,0.0011767184
DANN_score,0.0011678846
phyloP470way_mammalian,0.0011615201
MutationAssessor_score_std,0.0011511428
MutationTaster_score_std,0.0011153674
SIFT_score_max,0.0011133393
ESM1b_score_max,0.001047619
GERP_92_mammals,0.0010427902
Eigen-raw_coding,0.000940765
REVEL_score_std,0.00059518486
phastCons470way_mammalian_was_na,0.00037476487
REVEL_score_mean,0.0
Eigen-raw_coding_was_na,0.0
BayesDel_noAF_score_was_na,0.0
MetaSVM_score_was_na,0.0
gMVP_score_std,0.0
DANN_score_was_na,0.0
MutationAssessor_score_mean,0.0
MisFit_D_score_std,0.0
phastCons100way_vertebrate_was_na,0.0
phyloP100way_vertebrate_was_na,0.0
gnomAD4.1_joint_POPMAX_AF_was_na,0.0
MANE_Both,0.0
