group,mean_importance,std_importance,num_features,normalized_importance
population,0.18578587,0.32610694,6,0.2904975
meta_predictors,0.18476813,0.51905745,25,0.28890616
functional,0.12137488,0.26402467,24,0.18978354
dl_meta,0.066410236,0.1053393,20,0.103840016
conservation,0.052228298,0.092910506,12,0.081664935
mane,0.028976403,0.06292045,4,0.045307927
