group,mean_importance,std_importance,num_features,normalized_importance
meta_predictors,0.4034394548659996,0.9436354518169636,25,0.3092574900178159
functional,0.3561727775487168,1.0845303701047098,24,0.27302510418564674
population,0.2558205937405713,1.8135386133712317,6,0.19609989494298205
dl_meta,0.1666094508712809,0.22449568669089914,20,0.12771487758135305
conservation,0.07132582201067961,0.14416610701016178,12,0.05467498139418896
mane,0.051174128356364805,0.1345946065924906,4,0.03922765187801337
