group,mean_importance,std_importance,num_features,normalized_importance
population,0.5657353655363139,0.7466485636198638,6,0.6285919067173351
meta_predictors,0.17431382593970063,0.6486790976904927,25,0.19368112175691227
functional,0.07046205344477048,0.22719685043815221,24,0.07829080383560359
mane,0.03593655382734343,0.07048753088983178,2,0.03992931725200758
dl_meta,0.03552970375639927,0.08469686398539943,20,0.03947726373472317
conservation,0.01802671245701422,0.054808564960435575,9,0.020029586703418405
