feature,importance
BayesDel_addAF_score,202
CADD_phred,185
dbNSFP_POPMAX_AF,169
MutationTaster_score_mean,159
MutationTaster_score_max,139
BayesDel_noAF_score,114
ESM1b_score_count,111
gnomAD4.1_joint_POPMAX_AF,94
gMVP_score_max,92
fathmm-XF_coding_score,79
dbNSFP_POPMAX_AF_was_na,66
MutationAssessor_score_max,65
phyloP100way_vertebrate,59
VEST4_score_max,56
popEVE_score_count,56
VEST4_score_mean,51
gnomAD4.1_joint_AF_was_na,48
DANN_score,47
ESM1b_score_mean,47
M-CAP_score,47
phastCons100way_vertebrate,45
gnomAD4.1_joint_AF,45
MetaLR_score,39
AlphaMissense_score_mean,39
REVEL_score_max,37
popEVE_score_max,37
VEST4_score_count,37
GERP++_RS,34
MisFit_D_score_count,33
AlphaMissense_score_count,33
MutationTaster_score_count,32
MutPred2_score_mean,31
VEST4_score_std,29
AlphaMissense_rankscore,29
phyloP470way_mammalian,28
popEVE_score_mean,27
GERP_92_mammals,27
MisFit_D_score_max,26
fathmm-XF_coding_score_was_na,26
MetaSVM_score,25
Eigen-phred_coding,25
ESM1b_score_std,24
MutationAssessor_score_count,23
ESM1b_score_max,23
MANE_Select,22
MutPred2_score_max,22
AlphaMissense_score_std,22
Polyphen2_HDIV_score_count,21
MANE_Empty,21
MetaLR_score_was_na,18
Polyphen2_HDIV_score_std,18
MisFit_D_score_mean,16
gMVP_score_count,13
gMVP_score_mean,13
MutPred2_score_count,13
Eigen-phred_coding_was_na,12
BayesDel_addAF_score_was_na,12
REVEL_score_mean,11
Eigen-raw_coding,10
SIFT_score_max,9
SIFT_score_mean,9
Polyphen2_HDIV_score_mean,8
AlphaMissense_score_max,8
phastCons470way_mammalian,8
MANE_Plus_Clinical,8
AlphaMissense_rankscore_was_na,7
REVEL_score_count,7
SIFT_score_count,7
SIFT_score_std,6
popEVE_score_std,6
Polyphen2_HDIV_score_max,6
M-CAP_score_was_na,6
MutationTaster_score_std,5
MutationAssessor_score_mean,5
phyloP470way_mammalian_was_na,3
GERP++_RS_was_na,2
MANE_Both,2
MutPred2_score_std,2
GERP_92_mammals_was_na,2
REVEL_score_std,0
Eigen-raw_coding_was_na,0
BayesDel_noAF_score_was_na,0
MetaSVM_score_was_na,0
gMVP_score_std,0
DANN_score_was_na,0
MutationAssessor_score_std,0
MisFit_D_score_std,0
phastCons100way_vertebrate_was_na,0
phyloP100way_vertebrate_was_na,0
phastCons470way_mammalian_was_na,0
gnomAD4.1_joint_POPMAX_AF_was_na,0
