group,mean_importance,std_importance,num_features,normalized_importance
meta_predictors,0.14977114379669731,0.5022966089623889,25,0.33246013250574386
population,0.14548286557932946,0.20849058133844436,6,0.32294106555982494
functional,0.08476144967408782,0.24137426805010923,24,0.18815241758638143
dl_meta,0.03283371761058316,0.06174766574890892,20,0.07288388023722474
mane,0.022179027658583105,0.049013583795611305,4,0.04923273126784852
conservation,0.01546534108081235,0.031677816051643944,12,0.034329772842976565
