group,mean_importance,std_importance,num_features,normalized_importance
population,0.3988989455225756,0.5952907513874955,6,0.3918227632330972
mane,0.36697611250113127,0.5154086737404616,2,0.3604662184613257
conservation,0.25218459280180866,0.253303750694728,9,0.24771101830557704
