feature,importance
dbNSFP_POPMAX_AF,216
DANN_score,215
ESM1b_score_count,176
MutPred2_score_mean,174
AlphaMissense_score_mean,147
gnomAD4.1_joint_POPMAX_AF,137
ESM1b_score_mean,128
MutPred2_score_max,128
phyloP100way_vertebrate,116
MutPred2_score_count,115
ESM1b_score_std,106
phyloP470way_mammalian,100
popEVE_score_mean,96
popEVE_score_count,94
MANE_Empty,93
gnomAD4.1_joint_AF,92
GERP++_RS,87
AlphaMissense_score_std,84
AlphaMissense_score_count,80
GERP_92_mammals,79
gnomAD4.1_joint_AF_was_na,71
popEVE_score_max,60
ESM1b_score_max,57
AlphaMissense_rankscore_was_na,56
dbNSFP_POPMAX_AF_was_na,51
AlphaMissense_rankscore,45
MANE_Select,39
phastCons100way_vertebrate,37
AlphaMissense_score_max,28
popEVE_score_std,20
phyloP470way_mammalian_was_na,19
phastCons470way_mammalian,17
MANE_Plus_Clinical,17
GERP++_RS_was_na,13
GERP_92_mammals_was_na,4
MANE_Both,1
MutPred2_score_std,1
DANN_score_was_na,1
phastCons100way_vertebrate_was_na,0
phyloP100way_vertebrate_was_na,0
phastCons470way_mammalian_was_na,0
gnomAD4.1_joint_POPMAX_AF_was_na,0
