group,mean_importance,std_importance,num_features,normalized_importance
meta_predictors,0.15749177250423688,0.5655567620929126,25,0.37563818320013465
functional,0.08574395208764363,0.2661030907597033,24,0.20451038089456616
population,0.08546662709277882,0.21338363904148488,6,0.20384892502566226
conservation,0.041270867858223155,0.06967005090244967,10,0.09843634099005849
dl_meta,0.039389324481457676,0.08249503290533196,20,0.09394861744474492
mane,0.00990200241376122,0.0279409360837077,4,0.023617552444833573
