group,mean_importance,std_importance,num_features,normalized_importance
meta_predictors,0.43051952303399404,1.061965919397105,25,0.4418650922557735
population,0.18027261106930328,0.6504483829837837,6,0.18502337213413006
functional,0.11450654252642622,0.283918296340713,24,0.11752415690875381
dl_meta,0.10212687400356836,0.15014259153735088,20,0.10481824444420675
conservation,0.07942447438178023,0.1451700675146682,12,0.08151756383252455
mane,0.06747342931380695,0.14951086568427482,4,0.06925157042461133
