group,mean_importance,std_importance,num_features,normalized_importance
meta_predictors,0.15457134458204128,0.5342968022306298,25,0.349332550258678
population,0.1447340131797664,0.212628278894022,6,0.32710009782198146
functional,0.07721443835440632,0.21347721544424506,24,0.17450528582818664
dl_meta,0.030399210757663105,0.05281881587951485,20,0.06870247424281836
mane,0.019240265780930733,0.046028301674416724,4,0.04348316391425251
conservation,0.016316942251539776,0.03500969186973995,12,0.036876427934083064
