feature,importance
BayesDel_addAF_score,217
CADD_phred,193
dbNSFP_POPMAX_AF,184
MutationTaster_score_mean,159
MutationTaster_score_max,128
ESM1b_score_count,108
BayesDel_noAF_score,90
gMVP_score_max,81
dbNSFP_POPMAX_AF_was_na,77
fathmm-XF_coding_score,75
gnomAD4.1_joint_POPMAX_AF,74
phyloP100way_vertebrate,71
VEST4_score_max,64
M-CAP_score,57
ESM1b_score_mean,54
popEVE_score_count,53
MutationAssessor_score_max,51
gnomAD4.1_joint_AF,49
gnomAD4.1_joint_AF_was_na,47
AlphaMissense_score_mean,44
VEST4_score_mean,42
phastCons100way_vertebrate,41
GERP++_RS,39
GERP_92_mammals,36
MutPred2_score_mean,36
ESM1b_score_std,33
VEST4_score_count,32
MutationAssessor_score_count,32
MetaLR_score,31
AlphaMissense_score_count,30
MisFit_D_score_max,30
VEST4_score_std,29
REVEL_score_max,28
fathmm-XF_coding_score_was_na,28
ESM1b_score_max,27
popEVE_score_mean,27
MisFit_D_score_count,26
MutPred2_score_max,26
MANE_Empty,24
popEVE_score_max,24
MetaSVM_score,22
Polyphen2_HDIV_score_count,22
MutationTaster_score_count,21
AlphaMissense_rankscore,21
DANN_score,21
Eigen-phred_coding,21
AlphaMissense_score_std,20
phyloP470way_mammalian,19
MANE_Select,19
REVEL_score_count,19
SIFT_score_count,18
MutationTaster_score_std,18
Eigen-raw_coding,18
gMVP_score_mean,17
gMVP_score_count,17
Polyphen2_HDIV_score_std,17
SIFT_score_mean,15
M-CAP_score_was_na,15
MisFit_D_score_mean,15
Polyphen2_HDIV_score_mean,14
MutPred2_score_count,14
AlphaMissense_rankscore_was_na,13
BayesDel_addAF_score_was_na,13
popEVE_score_std,12
MutationAssessor_score_mean,12
MetaLR_score_was_na,10
Eigen-phred_coding_was_na,10
Polyphen2_HDIV_score_max,8
phastCons470way_mammalian,6
SIFT_score_std,6
SIFT_score_max,6
MANE_Plus_Clinical,5
MutPred2_score_std,4
AlphaMissense_score_max,4
REVEL_score_std,3
phyloP470way_mammalian_was_na,3
MutationAssessor_score_std,3
MisFit_D_score_std,2
gMVP_score_std,0
REVEL_score_mean,0
Eigen-raw_coding_was_na,0
BayesDel_noAF_score_was_na,0
MetaSVM_score_was_na,0
DANN_score_was_na,0
phastCons100way_vertebrate_was_na,0
GERP++_RS_was_na,0
GERP_92_mammals_was_na,0
phastCons470way_mammalian_was_na,0
phyloP100way_vertebrate_was_na,0
gnomAD4.1_joint_POPMAX_AF_was_na,0
MANE_Both,0
