feature,importance
phyloP470way_mammalian,465
dbNSFP_POPMAX_AF,378
phyloP100way_vertebrate,339
GERP++_RS,324
GERP_92_mammals,317
gnomAD4.1_joint_AF,280
gnomAD4.1_joint_POPMAX_AF,270
phastCons100way_vertebrate,144
MANE_Empty,131
dbNSFP_POPMAX_AF_was_na,75
gnomAD4.1_joint_AF_was_na,65
GERP_92_mammals_was_na,57
phastCons470way_mammalian,46
GERP++_RS_was_na,28
MANE_Both,28
MANE_Select,19
MANE_Plus_Clinical,18
phyloP470way_mammalian_was_na,16
phastCons100way_vertebrate_was_na,0
phyloP100way_vertebrate_was_na,0
phastCons470way_mammalian_was_na,0
gnomAD4.1_joint_POPMAX_AF_was_na,0
