group,mean_importance,std_importance,num_features,normalized_importance
meta_predictors,0.41310903057324605,0.9783985439633992,25,0.28888376291661033
functional,0.3998282119629934,0.997097848678011,24,0.27959659519379654
population,0.3531178736229639,2.0989737375579094,6,0.24693243801463458
dl_meta,0.13257042066961697,0.18941590726256302,20,0.09270540980751235
conservation,0.07793213395263439,0.1426928711842403,12,0.054497303235220944
mane,0.05346050124192356,0.10997084245202772,4,0.037384490832225295
