group,mean_importance,std_importance,num_features,normalized_importance
meta_predictors,0.4306316104330391,1.0621347688645517,25,0.4174799611129959
population,0.22128989339008523,0.6022954252210203,6,0.21453161785845498
functional,0.13243109313689272,0.2937874993088365,24,0.1283865983673263
dl_meta,0.10102277267613512,0.14037440879928842,20,0.09793749967855157
conservation,0.08330928914688954,0.1489911526453491,12,0.08076499251511142
mane,0.0628178097066579,0.15960747275863457,4,0.0608993304675598
